Ariel Beat @ Kick & Bass (18-05-2013)

Tracklist:

01 Dean Zone + The Sixth Sense - Acid Moonlight (Original Mix) [Diablotraxx Digital, 2010]
02 Wragg & Log:One - Necrosis (Original Mix) [Atmosphere Records UK, 2010]
03 Luca Antolini - Full Seduction (Antolini & Montorsi Remix) [United Styles, 2010]
04 Hardforze Meets Kuruption - Timeless (Original Mix) [H.A.R.D., 2013]
05 Noizy Boy - Beginning To The End (Original Mix) [Digitally Infected, 2013]
06 D-Block & S-Te-Fan - Rebel (Sully's Hard Trance For Life Remix) [CD-R, 2013]
07 Saltwater - The Legacy (Alphazone Mix) [Zenith Records, 2003]
08 Shock:Force – Rock It [iHDS, 2011]
09 Noisecontrollers Ft. Danielle - Unite (Wragg & Log:One Defqon Mashup Remix + Vocal Edit) (Ariel Beat Forest Parade 2k13 Edit) [CD-R, 2013]
10 Kuruption - Arcadia (Original Mix) [Bionic Digital, 2011]
11 Louk + Mike Steventon - My Mind [Hard With Style, 2011]
