Ariel Beat @ The Call Of Shiva (03-08-2013)

Tracklist:

01 Knife Party - Internet Friends (Organ Donors Psycho Bitch Re-Work) [CD-R, 2012]
02 A*S*Y*S - Trommelmaul [Fe Records, 2012]
03 BRK3 - L3T G0 [iTDS, 2012]
04 Icona Pop Vs. Katana (Organ Donors 'I Love Silence' Mashup) [CD-R, 2013]
05 Activator - Theppar [Subground, 2011]
06 Alex Kidd - Love Of Loops [Kiddfectious, 2012]
07 Dark By Design - No Justice (KloneZ Remix) [Universal Nation Recordings, 2012]
08 The Sixth Sense - Poltergeist [Zone Traxx, 2012]
09 Big Lean - Frenzy (Sully's Psychotic Remix) [Bionic Digital, 2013]
10 DJ W - Dead & Gone [Chemical Solutions Records, 2012]
11 Klubbheads Vs. Marcel Woods - Kickin' The Hard Bottle (Ariel Beat Mashup) [CD-R, 2013]
